#ID               Station ID
#LAT              Latitude (NAD27, decimal degrees)
#LONG             Longitude (NAD27, decimal degrees)
#UTM10x_NAD83     Easting (NAD83 Zone 10N, meters)
#UTM10y_NAD83     Northing (NAD83 Zone 10N, meters)
#ELEV_m           Elevation (NGVD29, meters)
#CBA              Complete Bouger Anomaly (mGal)
#ISO              Isostatic Anomaly (mGal)
#OG               Observed Gravity (mGal)
#FTC              Field Terrain Correction (calculated out to 68m from station, mGal)
#TTC              Total Terrain Correction (calculated from 68m to 166.7km from station, mGal)

ID,LAT,LONG,UTM10x_NAD83,UTM10y_NAD83,ELEV_M,CBA,ISO,OG,FTC,TTC
19GY2550,39.16106917,-122.89699833,508805.275,4334641.531,409.080,-44.671,-4.041,979967.997,0.020,1.870
19GY2551,39.15080050,-122.90138817,508427.242,4333501.573,403.260,-44.701,-4.681,979968.575,0.000,1.490
19GY2552,39.15681567,-122.92408900,506465.102,4334167.203,406.870,-44.767,-4.937,979968.276,0.030,1.550
19GY2553,39.14343183,-122.91415933,507324.458,4332682.735,416.990,-43.473,-4.093,979966.597,0.040,1.360
19GY2554,39.12971817,-122.90662133,507977.451,4331161.549,412.670,-41.201,-2.361,979968.559,0.030,1.300
19GY2555,39.09721533,-122.91308617,507422.108,4327554.109,452.400,-35.235,1.855,979964.141,0.030,1.040
19GY2556,39.07171767,-122.91372283,507369.739,4324724.561,405.090,-30.580,5.310,979975.987,0.010,0.840
19GY2557,39.11501233,-122.94333667,504804.947,4329526.997,473.960,-34.168,3.092,979962.319,0.040,1.290
19GY2558,39.10761717,-122.95472800,503820.532,4328705.794,430.160,-30.390,6.280,979973.565,0.040,1.730
19GY2559,39.09585167,-122.96026433,503342.416,4327399.939,428.990,-26.598,9.362,979977.054,0.040,1.220
19GY2560,39.08531967,-122.96334433,503076.538,4326231.081,429.700,-23.835,11.555,979978.455,0.030,1.510
19GY2561,39.06727083,-122.96703417,502758.130,4324228.068,467.790,-22.829,11.591,979970.358,0.060,1.570
19GY2562,39.06336900,-122.97709383,501887.956,4323794.813,541.280,-27.458,6.492,979951.116,0.050,1.470
19GY2563,39.07757117,-122.95901283,503451.557,4325371.385,431.450,-22.794,12.336,979978.769,0.020,1.210
