Numero ^ Tunnus ^ Osasto ^ Vuosi ^ Reikanro ^ Kl100 ^ Yht_X ^ Yht_Y ^ Kkj_X ^ Kkj_y ^ Z ^ Syvyys ^ Kaltevuus ^ Suunta
int ^ char ^ char ^ int ^ char ^ char ^ int ^ int ^ int ^ int ^ real ^ real ^ real ^ real
1058 ^ M371493R655    ^ M ^ 93 ^ 655    ^ 3714 ^ 7513142 ^ 3498007 ^ 7513142 ^ 3498006 ^ 221.82 ^ 0.00 ^ 45.60 ^ 0.00
1059 ^ M371493R655    ^ M ^ 93 ^ 655    ^ 3714 ^ 7513142 ^ 3498007 ^ 7513142 ^ 3498006 ^ 221.82 ^ 10.00 ^ 45.60 ^ 0.00
1060 ^ M371493R655    ^ M ^ 93 ^ 655    ^ 3714 ^ 7513142 ^ 3498007 ^ 7513142 ^ 3498006 ^ 221.82 ^ 151.00 ^ 45.60 ^ 0.00
1061 ^ M371493R656    ^ M ^ 93 ^ 656    ^ 3714 ^ 7513223 ^ 3498007 ^ 7513223 ^ 3498006 ^ 221.91 ^ 0.00 ^ 45.20 ^ 0.00
1062 ^ M371493R656    ^ M ^ 93 ^ 656    ^ 3714 ^ 7513223 ^ 3498007 ^ 7513223 ^ 3498006 ^ 221.91 ^ 10.00 ^ 45.10 ^ 0.00
1063 ^ M371493R656    ^ M ^ 93 ^ 656    ^ 3714 ^ 7513223 ^ 3498007 ^ 7513223 ^ 3498006 ^ 221.91 ^ 50.60 ^ 45.10 ^ 0.00
1064 ^ M371493R657    ^ M ^ 93 ^ 657    ^ 3714 ^ 7513304 ^ 3498007 ^ 7513304 ^ 3498006 ^ 222.02 ^ 0.00 ^ 44.60 ^ 0.00
1065 ^ M371493R657    ^ M ^ 93 ^ 657    ^ 3714 ^ 7513304 ^ 3498007 ^ 7513304 ^ 3498006 ^ 222.02 ^ 10.00 ^ 44.00 ^ 0.00
1066 ^ M371493R657    ^ M ^ 93 ^ 657    ^ 3714 ^ 7513304 ^ 3498007 ^ 7513304 ^ 3498006 ^ 222.02 ^ 20.00 ^ 44.10 ^ 0.00
1067 ^ M371493R657    ^ M ^ 93 ^ 657    ^ 3714 ^ 7513304 ^ 3498007 ^ 7513304 ^ 3498006 ^ 222.02 ^ 30.00 ^ 44.20 ^ 0.00
1068 ^ M371493R657    ^ M ^ 93 ^ 657    ^ 3714 ^ 7513304 ^ 3498007 ^ 7513304 ^ 3498006 ^ 222.02 ^ 40.00 ^ 44.20 ^ 0.00
1069 ^ M371493R657    ^ M ^ 93 ^ 657    ^ 3714 ^ 7513304 ^ 3498007 ^ 7513304 ^ 3498006 ^ 222.02 ^ 50.00 ^ 44.10 ^ 0.00
1070 ^ M371493R657    ^ M ^ 93 ^ 657    ^ 3714 ^ 7513304 ^ 3498007 ^ 7513304 ^ 3498006 ^ 222.02 ^ 60.20 ^ 44.10 ^ 0.00
1071 ^ M371493R658    ^ M ^ 93 ^ 658    ^ 3714 ^ 7513382 ^ 3498007 ^ 7513382 ^ 3498006 ^ 222.10 ^ 0.00 ^ 45.00 ^ 0.00
1072 ^ M371493R658    ^ M ^ 93 ^ 658    ^ 3714 ^ 7513382 ^ 3498007 ^ 7513382 ^ 3498006 ^ 222.10 ^ 10.00 ^ 45.10 ^ 0.00
1073 ^ M371493R658    ^ M ^ 93 ^ 658    ^ 3714 ^ 7513382 ^ 3498007 ^ 7513382 ^ 3498006 ^ 222.10 ^ 20.00 ^ 45.10 ^ 0.00
1074 ^ M371493R658    ^ M ^ 93 ^ 658    ^ 3714 ^ 7513382 ^ 3498007 ^ 7513382 ^ 3498006 ^ 222.10 ^ 50.30 ^ 45.10 ^ 0.00
1075 ^ M371493R659    ^ M ^ 93 ^ 659    ^ 3714 ^ 7513462 ^ 3498007 ^ 7513462 ^ 3498006 ^ 222.29 ^ 0.00 ^ 45.00 ^ 0.00
1076 ^ M371493R659    ^ M ^ 93 ^ 659    ^ 3714 ^ 7513462 ^ 3498007 ^ 7513462 ^ 3498006 ^ 222.29 ^ 10.00 ^ 45.00 ^ 0.00
1077 ^ M371493R659    ^ M ^ 93 ^ 659    ^ 3714 ^ 7513462 ^ 3498007 ^ 7513462 ^ 3498006 ^ 222.29 ^ 20.00 ^ 44.70 ^ 0.00
1078 ^ M371493R659    ^ M ^ 93 ^ 659    ^ 3714 ^ 7513462 ^ 3498007 ^ 7513462 ^ 3498006 ^ 222.29 ^ 30.00 ^ 44.60 ^ 0.00
1079 ^ M371493R659    ^ M ^ 93 ^ 659    ^ 3714 ^ 7513462 ^ 3498007 ^ 7513462 ^ 3498006 ^ 222.29 ^ 40.00 ^ 44.60 ^ 0.00
1080 ^ M371493R659    ^ M ^ 93 ^ 659    ^ 3714 ^ 7513462 ^ 3498007 ^ 7513462 ^ 3498006 ^ 222.29 ^ 50.00 ^ 44.50 ^ 0.00
1081 ^ M371493R659    ^ M ^ 93 ^ 659    ^ 3714 ^ 7513462 ^ 3498007 ^ 7513462 ^ 3498006 ^ 222.29 ^ 50.40 ^ 44.50 ^ 0.00
1082 ^ M371493R660    ^ M ^ 93 ^ 660    ^ 3714 ^ 7511705 ^ 3499007 ^ 7511705 ^ 3499006 ^ 228.69 ^ 0.00 ^ 45.20 ^ 90.00
1083 ^ M371493R660    ^ M ^ 93 ^ 660    ^ 3714 ^ 7511705 ^ 3499007 ^ 7511705 ^ 3499006 ^ 228.69 ^ 10.00 ^ 45.00 ^ 90.00
1084 ^ M371493R660    ^ M ^ 93 ^ 660    ^ 3714 ^ 7511705 ^ 3499007 ^ 7511705 ^ 3499006 ^ 228.69 ^ 15.00 ^ 45.00 ^ 90.00
1085 ^ M371493R660    ^ M ^ 93 ^ 660    ^ 3714 ^ 7511705 ^ 3499007 ^ 7511705 ^ 3499006 ^ 228.69 ^ 50.60 ^ 45.00 ^ 90.00
1086 ^ M371493R661    ^ M ^ 93 ^ 661    ^ 3714 ^ 7511705 ^ 3499056 ^ 7511705 ^ 3499055 ^ 228.92 ^ 0.00 ^ 46.10 ^ 90.00
1087 ^ M371493R661    ^ M ^ 93 ^ 661    ^ 3714 ^ 7511705 ^ 3499056 ^ 7511705 ^ 3499055 ^ 228.92 ^ 10.00 ^ 45.80 ^ 90.00
1088 ^ M371493R661    ^ M ^ 93 ^ 661    ^ 3714 ^ 7511705 ^ 3499056 ^ 7511705 ^ 3499055 ^ 228.92 ^ 15.00 ^ 46.00 ^ 90.00
1089 ^ M371493R661    ^ M ^ 93 ^ 661    ^ 3714 ^ 7511705 ^ 3499056 ^ 7511705 ^ 3499055 ^ 228.92 ^ 50.50 ^ 46.00 ^ 90.00
1090 ^ M371493R662    ^ M ^ 93 ^ 662    ^ 3714 ^ 7511705 ^ 3499103 ^ 7511705 ^ 3499102 ^ 229.36 ^ 0.00 ^ 45.80 ^ 90.00
1091 ^ M371493R662    ^ M ^ 93 ^ 662    ^ 3714 ^ 7511705 ^ 3499103 ^ 7511705 ^ 3499102 ^ 229.36 ^ 10.00 ^ 45.60 ^ 90.00
1092 ^ M371493R662    ^ M ^ 93 ^ 662    ^ 3714 ^ 7511705 ^ 3499103 ^ 7511705 ^ 3499102 ^ 229.36 ^ 20.00 ^ 45.50 ^ 90.00
1093 ^ M371493R662    ^ M ^ 93 ^ 662    ^ 3714 ^ 7511705 ^ 3499103 ^ 7511705 ^ 3499102 ^ 229.36 ^ 30.00 ^ 45.50 ^ 90.00
1094 ^ M371493R662    ^ M ^ 93 ^ 662    ^ 3714 ^ 7511705 ^ 3499103 ^ 7511705 ^ 3499102 ^ 229.36 ^ 40.00 ^ 45.40 ^ 90.00
1095 ^ M371493R662    ^ M ^ 93 ^ 662    ^ 3714 ^ 7511705 ^ 3499103 ^ 7511705 ^ 3499102 ^ 229.36 ^ 50.00 ^ 45.40 ^ 90.00
1096 ^ M371493R662    ^ M ^ 93 ^ 662    ^ 3714 ^ 7511705 ^ 3499103 ^ 7511705 ^ 3499102 ^ 229.36 ^ 50.60 ^ 45.40 ^ 90.00
1097 ^ M371493R663    ^ M ^ 93 ^ 663    ^ 3714 ^ 7511704 ^ 3499152 ^ 7511704 ^ 3499151 ^ 229.65 ^ 0.00 ^ 44.90 ^ 90.00
1098 ^ M371493R663    ^ M ^ 93 ^ 663    ^ 3714 ^ 7511704 ^ 3499152 ^ 7511704 ^ 3499151 ^ 229.65 ^ 10.00 ^ 45.00 ^ 90.00
1099 ^ M371493R663    ^ M ^ 93 ^ 663    ^ 3714 ^ 7511704 ^ 3499152 ^ 7511704 ^ 3499151 ^ 229.65 ^ 20.00 ^ 45.40 ^ 90.00
1100 ^ M371493R663    ^ M ^ 93 ^ 663    ^ 3714 ^ 7511704 ^ 3499152 ^ 7511704 ^ 3499151 ^ 229.65 ^ 53.40 ^ 45.40 ^ 90.00
1101 ^ M371493R664    ^ M ^ 93 ^ 664    ^ 3714 ^ 7511704 ^ 3499206 ^ 7511704 ^ 3499205 ^ 230.21 ^ 0.00 ^ 44.80 ^ 90.00
1102 ^ M371493R664    ^ M ^ 93 ^ 664    ^ 3714 ^ 7511704 ^ 3499206 ^ 7511704 ^ 3499205 ^ 230.21 ^ 10.00 ^ 46.00 ^ 90.00
1103 ^ M371493R664    ^ M ^ 93 ^ 664    ^ 3714 ^ 7511704 ^ 3499206 ^ 7511704 ^ 3499205 ^ 230.21 ^ 20.00 ^ 46.40 ^ 90.00
1104 ^ M371493R664    ^ M ^ 93 ^ 664    ^ 3714 ^ 7511704 ^ 3499206 ^ 7511704 ^ 3499205 ^ 230.21 ^ 80.70 ^ 46.40 ^ 90.00
1105 ^ M371493R665    ^ M ^ 93 ^ 665    ^ 3714 ^ 7511704 ^ 3499257 ^ 7511704 ^ 3499256 ^ 230.55 ^ 0.00 ^ 46.10 ^ 90.00
1106 ^ M371493R665    ^ M ^ 93 ^ 665    ^ 3714 ^ 7511704 ^ 3499257 ^ 7511704 ^ 3499256 ^ 230.55 ^ 10.00 ^ 45.10 ^ 90.00
1107 ^ M371493R665    ^ M ^ 93 ^ 665    ^ 3714 ^ 7511704 ^ 3499257 ^ 7511704 ^ 3499256 ^ 230.55 ^ 20.00 ^ 45.00 ^ 90.00
1108 ^ M371493R665    ^ M ^ 93 ^ 665    ^ 3714 ^ 7511704 ^ 3499257 ^ 7511704 ^ 3499256 ^ 230.55 ^ 50.30 ^ 45.00 ^ 90.00
1109 ^ M371493R666    ^ M ^ 93 ^ 666    ^ 3714 ^ 7511704 ^ 3499307 ^ 7511704 ^ 3499306 ^ 230.03 ^ 0.00 ^ 45.20 ^ 90.00
1110 ^ M371493R666    ^ M ^ 93 ^ 666    ^ 3714 ^ 7511704 ^ 3499307 ^ 7511704 ^ 3499306 ^ 230.03 ^ 10.00 ^ 45.10 ^ 90.00
1111 ^ M371493R666    ^ M ^ 93 ^ 666    ^ 3714 ^ 7511704 ^ 3499307 ^ 7511704 ^ 3499306 ^ 230.03 ^ 20.00 ^ 44.90 ^ 90.00
1112 ^ M371493R666    ^ M ^ 93 ^ 666    ^ 3714 ^ 7511704 ^ 3499307 ^ 7511704 ^ 3499306 ^ 230.03 ^ 30.00 ^ 44.70 ^ 90.00
1113 ^ M371493R666    ^ M ^ 93 ^ 666    ^ 3714 ^ 7511704 ^ 3499307 ^ 7511704 ^ 3499306 ^ 230.03 ^ 40.00 ^ 44.60 ^ 90.00
1114 ^ M371493R666    ^ M ^ 93 ^ 666    ^ 3714 ^ 7511704 ^ 3499307 ^ 7511704 ^ 3499306 ^ 230.03 ^ 50.00 ^ 44.60 ^ 90.00
1115 ^ M371493R666    ^ M ^ 93 ^ 666    ^ 3714 ^ 7511704 ^ 3499307 ^ 7511704 ^ 3499306 ^ 230.03 ^ 50.40 ^ 44.60 ^ 90.00
1116 ^ M371493R667    ^ M ^ 93 ^ 667    ^ 3714 ^ 7511705 ^ 3499356 ^ 7511705 ^ 3499355 ^ 231.76 ^ 0.00 ^ 45.40 ^ 90.00
1117 ^ M371493R667    ^ M ^ 93 ^ 667    ^ 3714 ^ 7511705 ^ 3499356 ^ 7511705 ^ 3499355 ^ 231.76 ^ 10.00 ^ 45.50 ^ 90.00
1118 ^ M371493R667    ^ M ^ 93 ^ 667    ^ 3714 ^ 7511705 ^ 3499356 ^ 7511705 ^ 3499355 ^ 231.76 ^ 20.00 ^ 45.40 ^ 90.00
1119 ^ M371493R667    ^ M ^ 93 ^ 667    ^ 3714 ^ 7511705 ^ 3499356 ^ 7511705 ^ 3499355 ^ 231.76 ^ 30.00 ^ 45.40 ^ 90.00
1120 ^ M371493R667    ^ M ^ 93 ^ 667    ^ 3714 ^ 7511705 ^ 3499356 ^ 7511705 ^ 3499355 ^ 231.76 ^ 40.00 ^ 45.50 ^ 90.00
1121 ^ M371493R667    ^ M ^ 93 ^ 667    ^ 3714 ^ 7511705 ^ 3499356 ^ 7511705 ^ 3499355 ^ 231.76 ^ 50.00 ^ 45.30 ^ 90.00
1122 ^ M371493R667    ^ M ^ 93 ^ 667    ^ 3714 ^ 7511705 ^ 3499356 ^ 7511705 ^ 3499355 ^ 231.76 ^ 50.50 ^ 45.30 ^ 90.00
1123 ^ M371493R668    ^ M ^ 93 ^ 668    ^ 3714 ^ 7511705 ^ 3499406 ^ 7511705 ^ 3499405 ^ 232.84 ^ 0.00 ^ 45.00 ^ 90.00
1124 ^ M371493R668    ^ M ^ 93 ^ 668    ^ 3714 ^ 7511705 ^ 3499406 ^ 7511705 ^ 3499405 ^ 232.84 ^ 10.00 ^ 44.90 ^ 90.00
1125 ^ M371493R668    ^ M ^ 93 ^ 668    ^ 3714 ^ 7511705 ^ 3499406 ^ 7511705 ^ 3499405 ^ 232.84 ^ 51.20 ^ 44.90 ^ 90.00
1126 ^ M371493R669    ^ M ^ 93 ^ 669    ^ 3714 ^ 7511706 ^ 3499464 ^ 7511706 ^ 3499463 ^ 238.14 ^ 0.00 ^ 44.80 ^ 90.00
1127 ^ M371493R669    ^ M ^ 93 ^ 669    ^ 3714 ^ 7511706 ^ 3499464 ^ 7511706 ^ 3499463 ^ 238.14 ^ 10.00 ^ 44.60 ^ 90.00
1128 ^ M371493R669    ^ M ^ 93 ^ 669    ^ 3714 ^ 7511706 ^ 3499464 ^ 7511706 ^ 3499463 ^ 238.14 ^ 20.00 ^ 44.50 ^ 90.00
1129 ^ M371493R669    ^ M ^ 93 ^ 669    ^ 3714 ^ 7511706 ^ 3499464 ^ 7511706 ^ 3499463 ^ 238.14 ^ 30.00 ^ 44.60 ^ 90.00
1130 ^ M371493R669    ^ M ^ 93 ^ 669    ^ 3714 ^ 7511706 ^ 3499464 ^ 7511706 ^ 3499463 ^ 238.14 ^ 40.00 ^ 44.40 ^ 90.00
1131 ^ M371493R669    ^ M ^ 93 ^ 669    ^ 3714 ^ 7511706 ^ 3499464 ^ 7511706 ^ 3499463 ^ 238.14 ^ 50.00 ^ 44.80 ^ 90.00
1132 ^ M371493R669    ^ M ^ 93 ^ 669    ^ 3714 ^ 7511706 ^ 3499464 ^ 7511706 ^ 3499463 ^ 238.14 ^ 51.50 ^ 44.80 ^ 90.00
1133 ^ M371493R670    ^ M ^ 93 ^ 670    ^ 3714 ^ 7511705 ^ 3499507 ^ 7511705 ^ 3499506 ^ 238.86 ^ 0.00 ^ 49.90 ^ 90.00
1134 ^ M371493R670    ^ M ^ 93 ^ 670    ^ 3714 ^ 7511705 ^ 3499507 ^ 7511705 ^ 3499506 ^ 238.86 ^ 50.00 ^ 49.90 ^ 90.00
1135 ^ M371493R671    ^ M ^ 93 ^ 671    ^ 3714 ^ 7511705 ^ 3499556 ^ 7511705 ^ 3499555 ^ 238.48 ^ 0.00 ^ 44.80 ^ 90.00
1136 ^ M371493R671    ^ M ^ 93 ^ 671    ^ 3714 ^ 7511705 ^ 3499556 ^ 7511705 ^ 3499555 ^ 238.48 ^ 10.00 ^ 44.60 ^ 90.00
1137 ^ M371493R671    ^ M ^ 93 ^ 671    ^ 3714 ^ 7511705 ^ 3499556 ^ 7511705 ^ 3499555 ^ 238.48 ^ 53.50 ^ 44.60 ^ 90.00
1138 ^ M371493R672    ^ M ^ 93 ^ 672    ^ 3714 ^ 7511705 ^ 3499605 ^ 7511705 ^ 3499604 ^ 239.44 ^ 0.00 ^ 44.60 ^ 90.00
1139 ^ M371493R672    ^ M ^ 93 ^ 672    ^ 3714 ^ 7511705 ^ 3499605 ^ 7511705 ^ 3499604 ^ 239.44 ^ 10.00 ^ 44.50 ^ 90.00
1140 ^ M371493R672    ^ M ^ 93 ^ 672    ^ 3714 ^ 7511705 ^ 3499605 ^ 7511705 ^ 3499604 ^ 239.44 ^ 20.00 ^ 44.90 ^ 90.00
1141 ^ M371493R672    ^ M ^ 93 ^ 672    ^ 3714 ^ 7511705 ^ 3499605 ^ 7511705 ^ 3499604 ^ 239.44 ^ 30.00 ^ 44.70 ^ 90.00
1142 ^ M371493R672    ^ M ^ 93 ^ 672    ^ 3714 ^ 7511705 ^ 3499605 ^ 7511705 ^ 3499604 ^ 239.44 ^ 40.00 ^ 44.50 ^ 90.00
1143 ^ M371493R672    ^ M ^ 93 ^ 672    ^ 3714 ^ 7511705 ^ 3499605 ^ 7511705 ^ 3499604 ^ 239.44 ^ 50.00 ^ 44.20 ^ 90.00
1144 ^ M371493R672    ^ M ^ 93 ^ 672    ^ 3714 ^ 7511705 ^ 3499605 ^ 7511705 ^ 3499604 ^ 239.44 ^ 51.80 ^ 44.20 ^ 90.00
1145 ^ M371493R673    ^ M ^ 93 ^ 673    ^ 3714 ^ 7511704 ^ 3499703 ^ 7511704 ^ 3499702 ^ 232.72 ^ 0.00 ^ 45.60 ^ 90.00
1146 ^ M371493R673    ^ M ^ 93 ^ 673    ^ 3714 ^ 7511704 ^ 3499703 ^ 7511704 ^ 3499702 ^ 232.72 ^ 10.00 ^ 44.50 ^ 90.00
1147 ^ M371493R673    ^ M ^ 93 ^ 673    ^ 3714 ^ 7511704 ^ 3499703 ^ 7511704 ^ 3499702 ^ 232.72 ^ 20.00 ^ 45.50 ^ 90.00
1148 ^ M371493R673    ^ M ^ 93 ^ 673    ^ 3714 ^ 7511704 ^ 3499703 ^ 7511704 ^ 3499702 ^ 232.72 ^ 30.00 ^ 46.30 ^ 90.00
1149 ^ M371493R673    ^ M ^ 93 ^ 673    ^ 3714 ^ 7511704 ^ 3499703 ^ 7511704 ^ 3499702 ^ 232.72 ^ 40.00 ^ 45.80 ^ 90.00
1150 ^ M371493R673    ^ M ^ 93 ^ 673    ^ 3714 ^ 7511704 ^ 3499703 ^ 7511704 ^ 3499702 ^ 232.72 ^ 50.10 ^ 45.80 ^ 90.00
1151 ^ M371493R674    ^ M ^ 93 ^ 674    ^ 3714 ^ 7511703 ^ 3499754 ^ 7511703 ^ 3499753 ^ 232.48 ^ 0.00 ^ 43.20 ^ 90.00
1152 ^ M371493R674    ^ M ^ 93 ^ 674    ^ 3714 ^ 7511703 ^ 3499754 ^ 7511703 ^ 3499753 ^ 232.48 ^ 10.00 ^ 43.90 ^ 90.00
1153 ^ M371493R674    ^ M ^ 93 ^ 674    ^ 3714 ^ 7511703 ^ 3499754 ^ 7511703 ^ 3499753 ^ 232.48 ^ 20.00 ^ 43.80 ^ 90.00
1154 ^ M371493R674    ^ M ^ 93 ^ 674    ^ 3714 ^ 7511703 ^ 3499754 ^ 7511703 ^ 3499753 ^ 232.48 ^ 40.00 ^ 43.70 ^ 90.00
1155 ^ M371493R674    ^ M ^ 93 ^ 674    ^ 3714 ^ 7511703 ^ 3499754 ^ 7511703 ^ 3499753 ^ 232.48 ^ 50.00 ^ 43.60 ^ 90.00
1156 ^ M371493R674    ^ M ^ 93 ^ 674    ^ 3714 ^ 7511703 ^ 3499754 ^ 7511703 ^ 3499753 ^ 232.48 ^ 50.50 ^ 43.60 ^ 90.00
1157 ^ M371493R675    ^ M ^ 93 ^ 675    ^ 3714 ^ 7511703 ^ 3499804 ^ 7511703 ^ 3499803 ^ 229.77 ^ 0.00 ^ 44.40 ^ 90.00
1158 ^ M371493R675    ^ M ^ 93 ^ 675    ^ 3714 ^ 7511703 ^ 3499804 ^ 7511703 ^ 3499803 ^ 229.77 ^ 10.00 ^ 43.30 ^ 90.00
1159 ^ M371493R675    ^ M ^ 93 ^ 675    ^ 3714 ^ 7511703 ^ 3499804 ^ 7511703 ^ 3499803 ^ 229.77 ^ 15.00 ^ 43.20 ^ 90.00
1160 ^ M371493R675    ^ M ^ 93 ^ 675    ^ 3714 ^ 7511703 ^ 3499804 ^ 7511703 ^ 3499803 ^ 229.77 ^ 53.00 ^ 43.20 ^ 90.00
1161 ^ M371493R676    ^ M ^ 93 ^ 676    ^ 3714 ^ 7511702 ^ 3499854 ^ 7511702 ^ 3499853 ^ 227.70 ^ 0.00 ^ 44.90 ^ 90.00
1162 ^ M371493R676    ^ M ^ 93 ^ 676    ^ 3714 ^ 7511702 ^ 3499854 ^ 7511702 ^ 3499853 ^ 227.70 ^ 10.00 ^ 45.20 ^ 90.00
1163 ^ M371493R677    ^ M ^ 93 ^ 677    ^ 3714 ^ 7511702 ^ 3499903 ^ 7511702 ^ 3499902 ^ 225.21 ^ 0.00 ^ 44.90 ^ 90.00
1164 ^ M371493R677    ^ M ^ 93 ^ 677    ^ 3714 ^ 7511702 ^ 3499903 ^ 7511702 ^ 3499902 ^ 225.21 ^ 10.00 ^ 45.00 ^ 90.00
1165 ^ M371493R677    ^ M ^ 93 ^ 677    ^ 3714 ^ 7511702 ^ 3499903 ^ 7511702 ^ 3499902 ^ 225.21 ^ 15.00 ^ 44.80 ^ 90.00
1166 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 0.00 ^ 70.30 ^ 90.00
1167 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 10.00 ^ 70.50 ^ 90.00
1168 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 20.00 ^ 70.80 ^ 90.00
1169 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 30.00 ^ 70.50 ^ 90.00
1170 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 40.00 ^ 70.70 ^ 90.00
1171 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 50.00 ^ 70.80 ^ 90.00
1172 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 60.00 ^ 70.90 ^ 90.00
1173 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 70.00 ^ 71.00 ^ 90.00
1174 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 80.00 ^ 71.00 ^ 90.00
1175 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 90.00 ^ 71.20 ^ 90.00
1176 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 100.00 ^ 71.30 ^ 90.00
1177 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 110.00 ^ 71.60 ^ 90.00
1178 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 120.00 ^ 71.70 ^ 90.00
1179 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 130.00 ^ 71.90 ^ 90.00
1180 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 140.00 ^ 72.00 ^ 90.00
1181 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 150.00 ^ 72.30 ^ 90.00
1182 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 160.00 ^ 72.60 ^ 90.00
1183 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 170.00 ^ 72.90 ^ 90.00
1184 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 180.00 ^ 73.10 ^ 90.00
1185 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 190.00 ^ 73.30 ^ 90.00
1186 ^ M371493R678    ^ M ^ 93 ^ 678    ^ 3714 ^ 7512254 ^ 3498957 ^ 7512254 ^ 3498956 ^ 234.61 ^ 200.10 ^ 73.30 ^ 90.00
1187 ^ M371493R679    ^ M ^ 93 ^ 679    ^ 3714 ^ 7512254 ^ 3499007 ^ 7512254 ^ 3499006 ^ 234.13 ^ 0.00 ^ 70.00 ^ 90.00
1188 ^ M371493R679    ^ M ^ 93 ^ 679    ^ 3714 ^ 7512254 ^ 3499007 ^ 7512254 ^ 3499006 ^ 234.13 ^ 10.00 ^ 69.90 ^ 90.00
1189 ^ M371493R679    ^ M ^ 93 ^ 679    ^ 3714 ^ 7512254 ^ 3499007 ^ 7512254 ^ 3499006 ^ 234.13 ^ 20.00 ^ 70.00 ^ 90.00
1190 ^ M371493R679    ^ M ^ 93 ^ 679    ^ 3714 ^ 7512254 ^ 3499007 ^ 7512254 ^ 3499006 ^ 234.13 ^ 30.00 ^ 70.20 ^ 90.00
1191 ^ M371493R679    ^ M ^ 93 ^ 679    ^ 3714 ^ 7512254 ^ 3499007 ^ 7512254 ^ 3499006 ^ 234.13 ^ 40.00 ^ 70.30 ^ 90.00
1192 ^ M371493R679    ^ M ^ 93 ^ 679    ^ 3714 ^ 7512254 ^ 3499007 ^ 7512254 ^ 3499006 ^ 234.13 ^ 50.00 ^ 70.40 ^ 90.00
1193 ^ M371493R679    ^ M ^ 93 ^ 679    ^ 3714 ^ 7512254 ^ 3499007 ^ 7512254 ^ 3499006 ^ 234.13 ^ 60.00 ^ 70.60 ^ 90.00
1194 ^ M371493R679    ^ M ^ 93 ^ 679    ^ 3714 ^ 7512254 ^ 3499007 ^ 7512254 ^ 3499006 ^ 234.13 ^ 70.00 ^ 71.00 ^ 90.00
1195 ^ M371493R679    ^ M ^ 93 ^ 679    ^ 3714 ^ 7512254 ^ 3499007 ^ 7512254 ^ 3499006 ^ 234.13 ^ 80.00 ^ 71.00 ^ 90.00
1196 ^ M371493R679    ^ M ^ 93 ^ 679    ^ 3714 ^ 7512254 ^ 3499007 ^ 7512254 ^ 3499006 ^ 234.13 ^ 90.00 ^ 71.00 ^ 90.00
